"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"JP9","3 pines","TopLayer","JST_SMD_3_PINES_-_2.54mm","642.403","-853.929","360",""
"C66","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","3392.955","-920.781","180","0.1uF 16V"
"R76","1K","BottomLayer","Res_1K_0603_1/8W","6593.910","-1078.656","90","1K SMD"
"Q7","DDC123JU","BottomLayer","Transistor_array_DDC123JU-FDICT_SMD","6397.448","-1108.631","270","Transistor Array 100mA"
"Q6","FDN340P","TopLayer","MOSFET_FDN340P_SSOT3","6234.503","-224.397","90","MOSFET P-CH 20V 2A SSOT3"
"P3","Header 2","TopLayer","HDR1X2","6518.854","-79.621","180","Header, 2-Pin"
"P2","Header 2","TopLayer","HDR1X2","6956.042","-79.621","180","Header, 2-Pin"
"C3","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","3041.773","-570.886","90","0.1uF 16V"
"C5","100uF","BottomLayer","Cap_tant_10uF_1206_SMD","4898.088","-879.700","0","CAP TANT 100UF 6.3V 20% 1206"
"D1","1N4148","TopLayer","Diodo_1N4148_SMD","2276.547","-176.345","90","Diodo 4148 SMD"
"D2","1N4148","BottomLayer","Diodo_1N4148_SMD","2276.547","-176.345","270","Diodo 4148 SMD"
"D4","1N4148","TopLayer","Diodo_1N4148_SMD","1791.817","-383.092","270","Diodo 4148 SMD"
"D5","1N4148","TopLayer","Diodo_1N4148_SMD","1685.979","-383.094","270","Diodo 4148 SMD"
"JP8","ISP","TopLayer","HDR2X3","3536.207","-109.001","360","Header, 3-Pin, Dual row"
"LED2","LED Rojo","TopLayer","LED_Rojo_0603","4593.480","-526.161","270","LED Rojo 0603"
"LED3","LED Rojo","TopLayer","LED_Rojo_0603","4738.766","-150.194","270","LED Rojo 0603"
"LED4","LED Rojo","TopLayer","LED_Rojo_0603","4279.600","-899.122","180","LED Rojo 0603"
"LED5","LED Rojo","TopLayer","LED_Rojo_0603","5399.276","-1041.274","270","LED Rojo 0603"
"P1","Header 6","TopLayer","HDR1X6","3205.030","-1085.723","180","Header, 6-Pin"
"Q1","BSS123","TopLayer","MOSFET_BSS123__SMD_SOT-23","5043.312","-594.687","360","MOSFET N-CH 100V 170MA"
"R1","10K","TopLayer","Res_1K_0603_1/8W","3391.984","-844.400","360","1K SMD"
"R2","10K","TopLayer","Res_10K_0603_1/10W","4403.679","-355.388","270","10K"
"R4","22K","TopLayer","Res_1K_0603_1/8W","4098.505","-616.207","360","1K SMD"
"R5","22K","TopLayer","Res_1K_0603_1/8W","4100.523","-744.350","360","1K SMD"
"R6","10K","TopLayer","Res_10K_0603_1/10W","4402.540","-149.777","90","10K"
"R10","120R","TopLayer","Res_1K_0603_1/8W","5309.894","-268.173","180","1K SMD"
"R11","10K","TopLayer","Res_10K_0603_1/10W","5120.239","-435.599","90","10K"
"R12","Res 10K SMD","TopLayer","Res_10K_0603_1/10W","5043.312","-748.913","180","10K"
"R13","1K","TopLayer","Res_1K_0603_1/8W","4699.904","-523.828","270","1K SMD"
"R14","6K8","TopLayer","Res_1K_0603_1/8W","2228.655","-373.132","90","1K SMD"
"R15","100K","TopLayer","Res_1K_0603_1/8W","2803.891","-317.233","360","1K SMD"
"R16","30K","BottomLayer","Res_1K_0603_1/8W","2227.995","-1044.270","180","1K SMD"
"R17","1K","TopLayer","Res_1K_0603_1/8W","2003.044","-886.345","90","1K SMD"
"R18","100K","TopLayer","Res_1K_0603_1/8W","2317.836","-373.693","270","1K SMD"
"R19","10K","TopLayer","Res_1K_0603_1/8W","2804.626","-415.809","360","1K SMD"
"R20","1K","TopLayer","Res_1K_0603_1/8W","4841.004","-159.038","90","1K SMD"
"R21","10K","TopLayer","Res_1K_0603_1/8W","1815.334","-753.182","180","1K SMD"
"R22","10k","BottomLayer","Res_1K_0603_1/8W","2129.523","-195.739","90","1K SMD"
"R23","4K7","TopLayer","Res_1K_0603_1/8W","1586.641","-1036.941","90","1K SMD"
"R24","4M7","BottomLayer","Res_1K_0603_1/8W","1790.662","-1013.172","270","1K SMD"
"R25","500R","TopLayer","Res_1K_0603_1/8W","1582.855","-768.307","270","1K SMD"
"R26","30K","TopLayer","Res_1K_0603_1/8W","1817.023","-666.361","360","1K SMD"
"R27","2K2","BottomLayer","Res_1K_0603_1/8W","1583.760","-768.517","90","1K SMD"
"R28","75K","TopLayer","Res_1K_0603_1/8W","2020.965","-724.773","180","1K SMD"
"R29","5K6","TopLayer","Res_1K_0603_1/8W","1793.173","-202.612","270","1K SMD"
"R30","10k","BottomLayer","Res_1K_0603_1/8W","1985.503","-197.669","90","1K SMD"
"R31","10k","TopLayer","Res_1K_0603_1/8W","1586.640","-201.962","90","1K SMD"
"R32","10k","TopLayer","Res_1K_0603_1/8W","1586.640","-392.165","90","1K SMD"
"R33","TRIM 5K","TopLayer","TRIMPOT_TH","2658.590","-913.109","180","TRIMMER 10K OHM 0.5W PC PIN"
"R34","1K","TopLayer","Res_1K_0603_1/8W","2406.891","-826.189","90","1K SMD"
"R35","10k","TopLayer","Res_1K_0603_1/8W","2017.508","-505.560","360","1K SMD"
"R36","1M","TopLayer","Res_1K_0603_1/8W","1688.609","-202.612","90","1K SMD"
"R37","1K","TopLayer","Res_1K_0603_1/8W","4441.103","-905.455","180","1K SMD"
"R38","10k","TopLayer","Res_1K_0603_1/8W","2015.825","-48.014","180","1K SMD"
"R39","1K","TopLayer","Res_1K_0603_1/8W","5285.522","-1042.899","270","1K SMD"
"SW2","DPDT SMD","TopLayer","SW_INTERR_SMD","3769.396","-1008.056","90","DPDT SMD"
"U1","ATMEGA328","TopLayer","ATMega328_32-TQFP_SMD","3339.899","-518.528","180","IC ATMega328"
"U2","ADS1015IDGSR","TopLayer","ADS1015IDGSR","3071.883","-827.843","360",""
"U4","SN75176AD","TopLayer","Transceiver_SN75176AD_SOCI8","5051.634","-244.189","0","Transceiver Differential Bus 5V"
"U5","AP2120N-3.3TRG1","BottomLayer","Reg_3.3V_150mA_SOT-23","4894.092","-734.193","270","IC REG LINEAR 3.3V 150MA SOT23"
"U8","LM358","TopLayer","Op_Amp_LM358_8-SOIC_SMD","1798.659","-975.009","270","Op Amp LM358"
"W1","Jumper","TopLayer","Jumper","4806.372","-467.934","90","Jumper Wire"
"W2","Jumper","TopLayer","Jumper","4804.005","-655.461","90","Jumper Wire"
"Y1","16MHz","TopLayer","Xtal_16MHz_SMD","3624.674","-448.359","270",""
"C2","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","3752.457","-631.249","90","0.1uF 16V"
"C6","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","2808.345","-167.781","360","0.1uF 16V"
